0:1047,3649,383,4155,4643,1788,4904,1183,369,2235,4582,1907,1235,1622,2584,2851,1228,803,3596,1500
1:2837,1782,3858,2991,3113,4995,4865,555,2481,1494,884,4546,851,1872,2653,431,634,2300,2018,756
2:2363,3536,3261,3859,4894,1086,2613,4300,1793,2848,748,395,4603,724,2123,654,4377,3576,3409,1556
3:4343,4580,4224,138,890,1574,3609,2152,2759,2118,4414,1201,3117,4047,2448,244,2324,4070,625,4042
4:4941,1466,441,3425,462,1351,2290,2438,2103,2916,2454,4297,307,4961,4508,982,2065,701,4350,1262
5:3165,1827,3239,2645,3447,1782,1173,4770,1088,865,1158,2386,589,148,1182,310,4417,4061,1772,2408
6:2880,687,3130,708,3309,4226,1437,4544,1258,3954,4465,3292,4189,3571,1537,3000,2896,3042,4846,1535
7:995,4972,2115,569,1789,940,1094,2067,2097,1885,4208,4029,211,302,1971,4473,2964,3466,2798,2527
8:2404,2487,2336,3842,2642,2350,879,2346,2479,3147,432,3063,435,299,4132,4165,4731,2467,2747,2428
9:3157,4249,332,4072,1266,1659,1910,1479,4416,3890,2650,3990,2856,2252,1432,1371,4938,1281,2040,823
10:2968,2818,1141,4189,1037,3203,2879,4035,3310,1457,1731,3216,4521,2146,897,2327,2740,2885,1265,3492
11:1359,867,2950,2410,4089,2979,4698,909,4375,3057,103,2428,4486,4172,4528,862,72,736,4929,730
12:1603,2297,1835,3718,4964,1126,3043,1080,1154,3662,2204,1577,3093,2095,4190,309,1760,1389,3829,187
13:3286,654,3217,3706,3373,3594,1583,4442,4343,1766,3229,4879,1513,2732,1707,189,344,2757,1318,3428
14:4223,4235,2876,1882,3954,1154,4617,3943,2386,3829,1965,187,271,1310,3346,2637,4270,1389,4406,4483
15:2059,1103,3666,1419,2449,3752,2737,3900,3080,4845,513,1843,2657,2989,2876,783,3705,2727,157,1891
16:4908,200,2285,2963,3316,3064,4663,1582,3016,4101,323,2900,4478,2647,3520,2950,4089,2763,2081,909
17:1863,195,1549,168,2922,4799,38,2721,4356,4181,3026,4615,3545,4282,4965,2012,1798,3322,402,3008
18:3119,4786,2183,4096,2732,4692,1004,993,874,2038,4061,4090,3880,13,3111,3027,2147,3100,4413,4664
19:3346,4742,1700,3111,2278,1787,3498,3008,2561,4619,3203,2468,3103,3665,3033,3093,1388,4858,454,1590
20:4038,4744,4017,2514,4722,2656,4051,2970,3784,3137,4420,1292,3456,1907,3337,631,2235,3449,3359,979
21:1755,1694,2917,2297,4920,1863,4028,1707,1191,3830,3104,1477,3025,2841,2445,3783,4213,451,728,2513
22:1566,1364,114,3430,2502,773,4096,2906,432,557,1510,2368,3038,654,3127,3308,4851,3345,790,3161
23:4160,3093,728,3281,4133,4443,1084,2961,3649,2183,4006,2815,837,4362,4600,2027,1444,1126,1014,3242
24:2554,3515,3937,114,2032,3742,4588,1221,3057,3444,2763,4887,1863,1292,3473,4856,3460,1233,501,3573
25:2502,87,119,1061,2683,4621,1968,598,4393,3926,1355,2615,1703,411,3456,4617,4226,2090,4038,1319
26:2425,2016,1561,4016,1071,1884,2157,4823,1654,3500,859,4949,2323,2774,2696,3665,824,2677,4618,4302
27:716,2840,4674,489,2431,4981,774,4715,1158,1055,4142,2939,2503,4424,915,3841,2433,4211,2763,512
28:2803,2438,4038,4698,4882,1214,1858,763,1596,4011,4499,362,3526,510,2163,2442,2324,641,2951,255
29:2701,1300,3950,4255,3190,1939,2227,1148,4943,4094,2126,2358,4118,4174,1062,3102,3077,2113,2246,3852
30:206,4030,3194,3622,703,38,4905,1344,822,3518,592,4933,1679,4812,3754,2319,3677,3719,4669,2853
31:2212,3524,2472,79,560,51,3515,4830,1053,4823,157,1407,229,1441,4363,2203,2214,3267,416,3573
32:4764,687,2227,2748,3949,4490,1383,719,324,4840,2103,961,3714,972,2525,4951,3743,43,3816,3741
33:2657,4143,3401,3468,4901,4219,1478,313,2208,3888,321,4412,2742,2975,858,1273,932,3055,2152,108
34:3888,1363,39,4256,3983,195,118,75,3462,3782,4888,2361,144,4332,689,1813,2930,1496,4580,2676
35:912,836,1252,4697,1746,4958,1510,535,3490,3188,4033,1004,399,3304,3845,1064,3819,715,732,2368
36:2512,2499,424,3943,115,4038,3662,2534,4310,1476,4698,336,3418,1690,3108,4253,1782,826,340,884
37:3052,4417,2141,3504,1093,1891,4108,272,866,1643,4335,3275,1385,2621,4668,1626,2018,1974,1731,176
38:290,1627,4965,4282,2876,98,897,4788,3490,4898,4826,2183,3677,294,3293,3995,2903,2938,2368,3668
