0:7610,1411,5530,729,1907,2379,4312,1432,3400,6735,5760,1045,4604,8394,8223,6211,1254,6329,8771,9992,9761,6878,68,5316,9405,2949,9823,1864,2743,1291
1:4493,9997,8182,176,967,9715,7749,5748,9007,8703,1514,431,874,8855,9323,2799,2996,4819,9903,4242,3301,7917,5501,23,3376,1041,532,6219,3540,9085
2:8467,8669,742,1660,7913,5258,5437,2959,916,6192,282,3611,4322,2942,8239,1849,5204,5017,5634,1973,1464,2296,463,3442,5099,3177,8980,8925,9393,7794
3:993,5165,1172,3086,6344,2092,3652,7910,1707,3949,7447,676,3377,4649,6627,5406,2935,780,7998,3857,711,8788,4257,4797,6561,9739,2477,471,545,1034
4:1370,9850,8327,8069,7952,5337,9519,6990,1455,473,5006,4197,2580,8768,5640,9597,9760,3749,9395,9242,2230,8975,6800,7491,8835,4731,1632,46,9208,7551
5:431,7101,8175,4173,5146,532,176,9350,7080,7856,8215,679,7927,9179,227,9105,3125,8527,7197,5803,1213,2569,4359,7818,5045,9470,8703,1203,3159,4623
6:5832,4061,7750,7231,5281,5288,6904,6621,8580,8043,4324,3592,2332,390,649,2035,5575,588,1553,8638,5509,234,1652,5850,782,9681,3117,3186,1136,5036
7:2443,6190,3028,5934,7228,9536,7881,9207,4553,3896,2020,5088,5484,823,1825,8835,8206,7354,3934,9032,2270,3805,9433,8837,6098,5830,8560,2430,7467,484
8:7855,1717,2032,2609,7670,2721,9633,5258,5896,4666,4785,8755,6362,2628,7258,5441,1223,9119,1532,249,9284,9677,7322,6120,2341,2136,1273,6178,4679,6088
9:2765,9513,4713,9447,918,3968,3382,5038,9564,5290,3778,3342,2175,5380,385,6759,2617,8729,8492,7858,9891,9496,252,7873,1127,3013,5802,4252,5096,2736
10:7631,529,4280,7349,370,4326,1375,347,9401,542,5561,1175,8769,556,1388,1776,7480,1034,4122,6621,3839,3719,4623,771,767,9438,425,6629,9465,7793
11:8447,4011,4683,9770,6421,2185,4471,4877,9199,3584,2973,6456,4593,1546,412,7566,6951,9939,5682,6583,7652,5314,1427,4623,8725,4144,1235,8227,8206,2835
12:3898,4181,9987,2622,4747,942,1140,9030,4249,6833,8631,1518,4978,1670,2409,2954,2122,8207,8879,9476,3287,8447,6525,7099,3833,1623,9621,7916,3030,8692
13:1254,3400,8637,1227,8223,8328,7134,1283,5108,1199,7063,694,6612,6774,5111,2019,5530,9992,7828,3130,729,7479,6896,8923,9039,6952,7656,6173,2876,2743
14:9757,2012,3961,9773,1530,2112,1491,572,8143,6354,7759,9489,9106,1119,2243,3900,6128,3811,880,9545,7739,6997,4779,4889,5130,8835,2080,7712,3167,3676
15:2178,5663,7553,1199,3400,5540,3183,2340,9309,8260,6201,4021,2478,8539,4119,6161,3752,6424,4412,9756,2416,9871,6909,7442,8874,5742,4727,8323,8618,986
16:8837,5572,186,6537,6867,7228,2638,7,8917,6098,9363,2514,9161,9752,2860,2152,5423,1825,1588,5908,628,5166,6037,5934,3623,9591,5370,9918,3805,4196
17:175,844,4771,153,7327,8327,9162,751,8633,1947,8657,1961,9328,8249,2605,2754,7350,5308,8747,4989,3699,8369,4661,6075,8395,8376,8430,6507,4861,7948
18:87,7215,5353,5380,4527,6136,3913,2857,670,5096,2888,9709,192,385,203,3778,8211,6484,4343,6710,6181,9327,6032,7006,6858,4346,2991,7293,4334,451
19:9846,7950,777,3669,2477,9801,1821,971,1317,1171,7101,648,1707,4938,7174,7393,9442,6002,9097,261,109,4728,6058,2362,4519,2670,545,5794,458,6983
20:3873,9926,825,8474,3506,3212,5140,8522,9401,3169,934,9064,9381,2031,1017,8654,6660,7527,3565,8179,110,5127,8091,3839,2146,8408,4849,7053,1797,6084
21:219,123,5968,2694,9046,6001,857,9850,9080,599,8047,8455,8691,109,3019,7276,840,6055,904,2265,33,5675,6579,8350,6973,1455,8788,6074,6076,4131
22:7059,987,1548,5505,1194,7580,3181,1100,3490,9673,2373,199,3488,6696,8060,1483,1712,7987,9469,3005,1714,5965,4273,6621,5087,49,9486,4973,761,1331
23:9350,1,227,1345,7818,8121,8418,679,5872,5223,5344,7184,6969,7346,6274,874,6532,1250,3998,2629,2996,431,8843,6425,8781,2883,3037,7723,3356,9940
24:4185,7615,2165,3351,4405,5501,2302,9648,931,6343,5106,7907,1223,6612,5082,8108,6341,4616,8779,9495,6182,118,4839,4243,9748,3694,4711,1405,8644,3436
25:2829,6852,9746,2471,493,9533,1222,5111,7853,5970,9762,4006,4999,2165,1403,8742,6004,1824,9068,6249,9788,6729,8450,530,6399,2156,8676,3981,747,6445
26:9942,5241,3798,3043,387,6611,153,985,4989,546,3482,9298,7779,8417,1394,1279,5308,3716,3064,9129,1984,4516,3808,1208,776,2634,7327,4398,3521,1088
27:9103,5137,4164,3004,9498,7190,5247,7013,3002,2490,4067,4755,1402,2050,1126,3269,7248,2527,8493,8241,9381,5514,2315,2044,9070,1316,1425,2112,681,2806
28:6742,2322,8134,9567,3579,7759,9848,554,7206,9324,6508,3478,605,7639,5439,9799,9106,5503,8919,3961,9855,5577,7675,5421,5940,3247,4433,786,2818,3253
29:9347,8372,1679,9730,7630,3513,5753,3108,4861,8142,4654,7282,9771,8847,6373,5619,2431,3464,9328,7980,2043,6346,3240,1551,7305,5790,3268,6369,1171,9742
30:4264,8518,692,5977,2622,1118,941,5429,1582,4113,6522,4073,3143,5489,1372,6158,9707,7515,599,4548,942,2409,1824,2193,102,3287,3367,7099,9988,8833
31:7197,429,4678,6454,4166,3986,4413,1946,4106,4011,4683,7897,5075,5388,4462,5939,2805,7738,412,6428,8298,1649,2684,4471,430,9620,1491,5559,1011,6966
